title,main_speaker,film_date,tags
The illusion of consciousness,Dan Dennett,2003-02-27T00:00:00Z,"['TED Brain Trust', 'brain', 'consciousness', 'culture', 'entertainment', 'illusion', 'self', 'visualizations']"
How to truly listen,Evelyn Glennie,2003-02-02T00:00:00Z,"['creativity', 'entertainment', 'live music', 'music', 'performance']"
Cradle to cradle design,William McDonough,2005-02-02T00:00:00Z,"['architecture', 'business', 'china', 'cities', 'culture', 'design', 'environment', 'global issues', 'sustainability', 'technology']"
The electricity metaphor for the web's future,Jeff Bezos,2003-02-02T00:00:00Z,"['TED Brain Trust', 'United States', 'business', 'entrepreneur', 'history', 'innovation', 'invention', 'technology', 'web']"
A mockingbird remix of TED2006,Rives,2006-02-02T00:00:00Z,"['entertainment', 'memory', 'performance', 'poetry', 'spoken word', 'storytelling']"
"""Kiteflyer's Hill""",Eddi Reader,2003-02-02T00:00:00Z,"['composing', 'entertainment', 'guitar', 'memory', 'music', 'performance', 'piano']"
"""What You've Got""",Eddi Reader,2003-02-02T00:00:00Z,"['composing', 'entertainment', 'guitar', 'music', 'performance', 'performance art', 'piano', 'potential', 'vocals']"
Why would God create a tsunami?,Tom Honey,2005-02-02T00:00:00Z,"['God', 'culture', 'disaster relief', 'global issues', 'natural disaster', 'philosophy', 'religion']"
Militant atheism,Richard Dawkins,2002-02-02T00:00:00Z,"['God', 'atheism', 'culture', 'religion', 'science']"
A comic sendup of TED2006,Tom Rielly,2006-02-02T00:00:00Z,"['comedy', 'culture', 'humor', 'performance']"
"""La Vie en Rose""",Rachelle Garniez,2004-02-02T00:00:00Z,"['entertainment', 'live music', 'music', 'performance']"
Technology's long tail,Chris Anderson,2004-02-02T00:00:00Z,"['business', 'culture', 'economics', 'entertainment', 'marketing', 'technology']"
Cape Breton fiddling in reel time,Natalie MacMaster,2002-02-02T00:00:00Z,"['entertainment', 'history', 'live music', 'music', 'performance', 'violin']"
The genesis of Google,Sergey Brin + Larry Page,2004-02-02T00:00:00Z,"['Google', 'TED Brain Trust', 'business', 'collaboration', 'culture', 'design', 'technology', 'web']"
"""Black Men Ski""",Stew,2006-03-03T00:00:00Z,"['culture', 'entertainment', 'live music', 'music', 'performance', 'poetry', 'race', 'sports']"
The ghastly tragedy of the suburbs,James Howard Kunstler,2004-02-02T00:00:00Z,"['alternative energy', 'architecture', 'cars', 'cities', 'consumerism', 'culture', 'design', 'energy', 'transportation']"
Human-centered design,David Kelley,2002-02-02T00:00:00Z,"['collaboration', 'creativity', 'culture', 'design', 'museums', 'philanthropy', 'science and art', 'water']"
What squatter cities can teach us,Stewart Brand,2006-02-02T00:00:00Z,"['TED Brain Trust', 'business', 'cities', 'culture', 'future', 'global issues', 'poverty', 'technology', 'urban planning']"
How brain science will change computing,Jeff Hawkins,2003-02-02T00:00:00Z,"['AI', 'brain', 'cognitive science', 'computers', 'intelligence', 'memory', 'science', 'technology']"
Swim with the giant sunfish,Tierney Thys,2003-02-02T00:00:00Z,"['animals', 'biodiversity', 'climate change', 'environment', 'fish', 'global issues', 'oceans', 'science', 'technology']"
How PhotoSynth can connect the world's images,Blaise AgÌ_era y Arcas,2007-03-03T00:00:00Z,"['collaboration', 'demo', 'microsoft', 'photography', 'software', 'technology', 'virtual reality', 'visualizations']"
Salvation (and profit) in greentech,John Doerr,2007-03-03T00:00:00Z,"['climate change', 'environment', 'global issues', 'green', 'investment', 'sustainability', 'technology']"
Want to help Africa? Do business here,Ngozi Okonjo-Iweala,2007-03-03T00:00:00Z,"['business', 'corruption', 'global issues', 'investment', 'women', 'women in business']"
Rethink the desktop with BumpTop,Anand Agarawala,2007-03-03T00:00:00Z,"['demo', 'interface design', 'software', 'technology']"
We can be Buddhas,Robert Thurman,2006-12-01T00:00:00Z,"['Buddhism', 'God', 'culture', 'global issues', 'happiness', 'peace', 'religion']"
A memorial at Ground Zero,David Rockwell,2002-02-02T00:00:00Z,"['New York', 'architecture', 'cities', 'collaboration', 'culture', 'death', 'design', 'disaster relief', 'interview', 'memory', 'urban planning']"
Let's rethink America's military strategy,Thomas Barnett,2005-02-02T00:00:00Z,"['culture', 'global issues', 'military', 'peace', 'technology', 'terrorism', 'war']"
"A string quartet plays ""Blue Room""",Ethel,2006-02-02T00:00:00Z,"['cello', 'collaboration', 'culture', 'entertainment', 'live music', 'performance', 'violin']"
Tour Microsoft's Virtual Earth,Stephen Lawler,2007-03-03T00:00:00Z,"['design', 'map', 'microsoft', 'technology', 'virtual reality']"
New insights on poverty,Hans Rosling,2007-03-03T00:00:00Z,"['Africa', 'Asia', 'Google', 'economics', 'global development', 'global issues', 'health', 'inequality', 'poverty', 'statistics', 'visualizations']"
I'm going to the moon. Who's with me?,Bill Stone,2007-03-03T00:00:00Z,"['Moon', 'NASA', 'Planets', 'adventure', 'energy', 'exploration', 'mining', 'space', 'technology']"
Dangerous memes,Dan Dennett,2002-02-02T00:00:00Z,"['TED Brain Trust', 'culture', 'faith', 'meme', 'philosophy', 'religion']"
The potential of regenerative medicine,Alan Russell,2006-02-02T00:00:00Z,"['Bioethics', 'cancer', 'design', 'health', 'health care', 'medicine', 'technology']"
The Web's secret stories,Jonathan Harris,2007-03-03T00:00:00Z,"['design', 'entertainment', 'global issues', 'software', 'technology']"
Flip your thinking on AIDS in Africa,Emily Oster,2007-03-03T00:00:00Z,"['AIDS', 'Africa', 'economics', 'global issues', 'health', 'science', 'statistics']"
"Spore, birth of a game",Will Wright,2007-03-03T00:00:00Z,"['demo', 'design', 'entertainment', 'gaming', 'technology']"
The  4 a.m. mystery,Rives,2007-03-03T00:00:00Z,"['entertainment', 'poetry', 'spoken word']"
Visualizing the wonder of a living cell,David Bolinsky,2007-03-03T00:00:00Z,"['animation', 'design', 'entertainment', 'film', 'health', 'medicine', 'science', 'technology', 'visualizations']"
How to get (a new) hip,Allison Hunt,2007-03-03T00:00:00Z,"['culture', 'health care', 'marketing', 'medicine']"
Africa's cheetahs versus hippos,George Ayittey,2007-06-05T00:00:00Z,"['Africa', 'business', 'corruption', 'economics', 'entrepreneur', 'global development', 'global issues', 'philanthropy']"
Aid versus trade,Ngozi Okonjo-Iweala,2007-06-07T00:00:00Z,"['Africa', 'business', 'economics', 'entrepreneur', 'global development', 'global issues', 'health care', 'investment', 'philanthropy', 'women', 'women in business']"
How I built a windmill,William Kamkwamba,2007-06-05T00:00:00Z,"['Africa', 'alternative energy', 'design', 'energy', 'global issues', 'interview', 'library', 'technology']"
Why invest in Africa,Euvin Naidoo,2007-06-04T00:00:00Z,"['Africa', 'business', 'entrepreneur', 'global issues', 'investment']"
How to educate leaders? Liberal arts,Patrick Awuah,2007-06-06T00:00:00Z,"['Africa', 'culture', 'education', 'global issues', 'leadership', 'social change']"
Telling stories from Africa,Chris Abani,2007-06-06T00:00:00Z,"['Africa', 'culture', 'entertainment', 'global issues', 'literature', 'poetry', 'storytelling']"
Patient capitalism,Jacqueline Novogratz,2007-06-05T00:00:00Z,"['business', 'global development', 'global issues', 'investment', 'medicine', 'philanthropy', 'poverty', 'women', 'women in business']"
"""Thula Mama""",Vusi Mahlasela,2007-06-07T00:00:00Z,"['Africa', 'activism', 'entertainment', 'live music', 'music', 'singer', 'women']"
"""Woza""",Vusi Mahlasela,2007-06-08T00:00:00Z,"['Africa', 'entertainment', 'guitar', 'live music', 'music']"
My journey into movies that matter,Jeff Skoll,2007-03-03T00:00:00Z,"['business', 'entertainment', 'film', 'global issues', 'movies', 'philanthropy', 'social change']"
"Luke, a new prosthetic arm for soldiers",Dean Kamen,2007-03-09T00:00:00Z,"['culture', 'demo', 'global issues', 'health care', 'invention', 'peace', 'prosthetics', 'science', 'technology', 'war']"
The joy of lexicography,Erin McKean,2007-03-03T00:00:00Z,"['books', 'culture', 'education', 'entertainment', 'language']"
Aid for Africa? No thanks.,Andrew Mwenda,2007-06-06T00:00:00Z,"['Africa', 'business', 'global development', 'global issues', 'investment', 'philanthropy', 'technology']"
"My creations, a new form of life",Theo Jansen,2007-03-03T00:00:00Z,"['animals', 'art', 'biomechanics', 'creativity', 'demo', 'design', 'entertainment', 'science and art', 'technology']"
What our language habits reveal,Steven Pinker,2005-07-07T00:00:00Z,"['TED Brain Trust', 'culture', 'language', 'psychology', 'science']"
The surprising decline in violence,Steven Pinker,2007-03-03T00:00:00Z,"['TED Brain Trust', 'business', 'culture', 'global issues', 'media', 'sociology', 'violence', 'war']"
An Iraq war movie crowd-sourced from soldiers,Deborah Scranton,2007-03-03T00:00:00Z,"['entertainment', 'film', 'global issues', 'storytelling', 'technology', 'war']"
The search for humanity's roots,Zeresenay Alemseged,2007-06-07T00:00:00Z,"['Africa', 'anthropology', 'exploration', 'global issues', 'human origins', 'humanity', 'paleontology', 'science']"
Designing for simplicity,John Maeda,2007-03-03T00:00:00Z,"['art', 'design', 'simplicity', 'technology']"
10 ways the world could end,Stephen Petranek,2002-02-02T00:00:00Z,"['asteroid', 'climate change', 'future', 'global issues', 'humanity', 'science', 'solar system', 'space', 'technology']"
A flight on solar wings,Paul MacCready,2003-02-02T00:00:00Z,"['alternative energy', 'business', 'design', 'drones', 'energy', 'flight', 'invention', 'solar energy', 'technology']"
This is Saturn,Carolyn Porco,2007-03-03T00:00:00Z,"['NASA', 'Planets', 'design', 'exploration', 'science', 'solar system', 'space', 'technology', 'universe', 'visualizations']"
My magic moves,Kenichi Ebina,2007-03-03T00:00:00Z,"['culture', 'dance', 'entertainment', 'performance']"
"Life at 30,000 feet",Richard Branson,2007-03-03T00:00:00Z,"['aircraft', 'business', 'entertainment', 'entrepreneur', 'global issues', 'interview', 'music', 'space', 'technology']"
"Building ""self-aware"" robots",Hod Lipson,2007-03-06T00:00:00Z,"['AI', 'cognitive science', 'demo', 'design', 'evolution', 'robots', 'technology']"
The illustrated woman,Maira Kalman,2007-03-03T00:00:00Z,"['art', 'children', 'culture', 'design', 'entertainment', 'happiness']"
The anthropology of mobile phones,Jan Chipchase,2007-03-03T00:00:00Z,"['cities', 'communication', 'culture', 'design', 'global issues', 'technology', 'telecom']"
3 clues to understanding your brain,VS Ramachandran,2007-03-03T00:00:00Z,"['brain', 'consciousness', 'culture', 'illness', 'illusion', 'science', 'technology']"
A commodities exchange for Ethiopia,Eleni Gabre-Madhin,2007-06-06T00:00:00Z,"['business', 'economics', 'food', 'global issues', 'technology', 'women in business']"
How electroshock therapy changed me,Sherwin Nuland,2001-02-02T00:00:00Z,"['brain', 'depression', 'health care', 'illness', 'medicine', 'mental health', 'science', 'suicide', 'technology']"
The habits of happiness,Matthieu Ricard,2004-02-02T00:00:00Z,"['Buddhism', 'God', 'brain', 'culture', 'evolutionary psychology', 'faith', 'global issues', 'happiness', 'peace', 'photography', 'psychology', 'religion']"
Laws that choke creativity,Lawrence Lessig,2007-03-03T00:00:00Z,"['business', 'creativity', 'entertainment', 'law', 'technology']"
Playing with DNA that self-assembles,Paul Rothemund,2007-03-03T00:00:00Z,"['DNA', 'MacArthur grant', 'complexity', 'computers', 'science']"
A critical look at geoengineering against climate change,David Keith,2007-09-09T00:00:00Z,"['business', 'china', 'climate change', 'engineering', 'global issues', 'science', 'technology']"
Using biology to rethink the energy challenge,Juan Enriquez,2007-09-09T00:00:00Z,"['TED Brain Trust', 'biodiversity', 'biotech', 'business', 'energy', 'science', 'technology']"
The case for optimism,Larry Brilliant,2007-01-01T00:00:00Z,"['climate change', 'culture', 'global issues', 'health', 'peace']"
The sticky wonder of gecko feet,Robert Full,2005-02-02T00:00:00Z,"['design', 'evolution', 'robots', 'science', 'technology']"
The fractals at the heart of African designs,Ron Eglash,2007-06-06T00:00:00Z,"['Africa', 'architecture', 'culture', 'design', 'math', 'technology']"
Design and destiny,Philippe Starck,2007-03-03T00:00:00Z,"['design', 'humanity', 'humor', 'philosophy', 'storytelling']"
"Beauty, truth and ... physics?",Murray Gell-Mann,2007-03-03T00:00:00Z,"['String theory', 'physics', 'science', 'storytelling', 'technology']"
Winning the oil endgame,Amory Lovins,2005-02-02T00:00:00Z,"['MacArthur grant', 'business', 'economics', 'energy', 'environment', 'green', 'science', 'technology']"
"A performance of ""Mathemagic""",Arthur Benjamin,2005-02-02T00:00:00Z,"['education', 'entertainment', 'magic', 'math', 'performance']"
Why aren't we more compassionate?,Daniel Goleman,2007-03-03T00:00:00Z,"['brain', 'community', 'compassion', 'empathy', 'psychology']"
The lost art of letter-writing,Lakshmi Pratury,2007-03-03T00:00:00Z,"['communication', 'community', 'parenting', 'relationships', 'writing']"
5 dangerous things you should let your kids do,Gever Tulley,2007-03-03T00:00:00Z,"['children', 'design', 'entertainment', 'parenting', 'play', 'sports', 'technology']"
Tales of passion,Isabel Allende,2007-03-03T00:00:00Z,"['South America', 'entertainment', 'global issues', 'love', 'parenting', 'storytelling', 'women', 'world cultures']"
We're worried about local warming ... in your lap,Yossi Vardi,2007-03-07T00:00:00Z,"['comedy', 'humor']"
The emergent genius of ant colonies,Deborah Gordon,2003-02-02T00:00:00Z,"['ants', 'biology', 'collaboration', 'design', 'insects', 'science']"
The mystery box,J.J. Abrams,2007-03-03T00:00:00Z,"['entertainment', 'film', 'humor', 'movies', 'storytelling', 'technology']"
Underwater astonishments,David Gallo,2007-03-03T00:00:00Z,"['animals', 'evolution', 'exploration', 'fish', 'oceans', 'science', 'technology']"
Treat design as art,Paola Antonelli,2007-03-03T00:00:00Z,"['art', 'culture', 'design', 'museums']"
